Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,3196,165,5,452.455687666,39.4488,-76.0741,39.4488,-76.0741,1,39,-84.51
link,3197,165,5,449.827972277,39.411,-76.1224,39.411,-76.1224,1,39,-84.51
link,3198,165,5,446.526180185,39.383,-76.1837,39.383,-76.1837,1,39,-84.51
link,3199,165,5,445.122386692,39.3647,-76.2097,39.3647,-76.2097,1,39,-84.51
link,3200,165,5,444.267813273,39.3778,-76.2259,39.3778,-76.2259,1,39,-84.51
link,3201,165,5,444.089966850,39.3975,-76.2296,39.3975,-76.2296,1,39,-84.51
link,3202,165,5,444.509983548,39.4403,-76.2228,39.4403,-76.2228,1,39,-84.51
link,3203,165,5,444.899046506,39.4594,-76.2161,39.4594,-76.2161,1,39,-84.51
link,3204,165,5,444.929814176,39.4676,-76.2158,39.4676,-76.2158,1,39,-84.51
link,3205,165,5,444.569583226,39.4745,-76.2228,39.4745,-76.2228,1,39,-84.51
link,3206,165,5,444.052416716,39.4745,-76.2325,39.4745,-76.2325,1,39,-84.51
link,3207,165,5,443.632946464,39.467,-76.2401,39.467,-76.2401,1,39,-84.51
link,3208,165,5,443.259648391,39.4582,-76.2468,39.4582,-76.2468,1,39,-84.51
link,3209,165,5,442.910939577,39.454,-76.2532,39.454,-76.2532,1,39,-84.51
link,3210,165,5,442.084522736,39.3789,-76.2668,39.3789,-76.2668,1,39,-84.51
link,3211,165,5,442.822989078,39.3615,-76.2527,39.3615,-76.2527,1,39,-84.51
link,3212,165,5,443.215639810,39.3496,-76.2452,39.3496,-76.2452,1,39,-84.51
link,3213,165,5,443.132301820,39.3441,-76.2467,39.3441,-76.2467,1,39,-84.51
link,3214,165,5,442.740083830,39.3401,-76.254,39.3401,-76.254,1,39,-84.51
link,3215,165,5,441.115036177,39.3106,-76.2842,39.3106,-76.2842,1,39,-84.51
